SPO2,IR,RED
,150732.0,48718.0
,150532.0,48778.0
,150771.0,48418.0
,150960.0,49202.0
,150998.0,49226.0
,150775.0,49437.0
,150678.0,48967.0
,150850.0,48803.0
,150896.0,49076.0
,151166.0,48920.0
,150982.0,48740.0
,150383.0,48978.0
,149912.0,48455.0
,149231.0,48830.0
,148277.0,48322.0
,147324.0,48235.0
,145756.0,47931.0
,144605.0,47941.0
,143643.0,47403.0
,143509.0,47852.0
,142951.0,47035.0
,142970.0,47351.0
,142971.0,47104.0
,142534.0,47393.0
,143072.0,47522.0
,143380.0,47634.0
,143089.0,48043.0
,142915.0,47509.0
,142987.0,47199.0
,143500.0,47196.0
,143798.0,47553.0
,143336.0,47793.0
,143640.0,47728.0
,143471.0,47230.0
,143686.0,48073.0
,143550.0,47616.0
,143901.0,47668.0
,144087.0,47555.0
,144414.0,47323.0
,144653.0,48174.0
,145222.0,48036.0
,145568.0,48108.0
,146031.0,47750.0
,146125.0,47849.0
,146760.0,48341.0
,147056.0,47935.0
,146774.0,48620.0
,147034.0,48009.0
,147030.0,48375.0
,146814.0,48346.0
,147113.0,47960.0
,146768.0,48401.0
,146670.0,47540.0
,146743.0,48261.0
,146611.0,47790.0
,146321.0,48358.0
,146923.0,48178.0
,146812.0,48295.0
,147021.0,48242.0
,146750.0,48293.0
,147001.0,48399.0
,147410.0,48437.0
,147605.0,48167.0
,147808.0,48891.0
,147808.0,48711.0
,147911.0,48594.0
,148512.0,48515.0
,148184.0,48676.0
,148233.0,48282.0
,148799.0,48613.0
,148727.0,48765.0
,148931.0,48792.0
,149437.0,48668.0
,149281.0,48958.0
,149549.0,49056.0
,149690.0,48605.0
,149918.0,48757.0
,149933.0,49461.0
,150342.0,49098.0
,149781.0,48716.0
,149715.0,48425.0
,150160.0,49201.0
,150793.0,48509.0
,150400.0,49272.0
,150670.0,49105.0
,150858.0,48973.0
,151169.0,48913.0
,150876.0,49041.0
,151065.0,48983.0
,151390.0,49435.0
,151390.0,49171.0
,151207.0,49383.0
,151409.0,48996.0
,151532.0,49270.0
,150938.0,49110.0
,150688.0,49302.0
,149599.0,48874.0
,148616.0,48572.0
,147194.0,48633.0
,145947.0,48033.0
,144584.0,47633.0
,143385.0,47677.0
,142822.0,47184.0
,142603.0,47751.0
,142257.0,47144.0
,141992.0,46715.0
,142560.0,47363.0
,142319.0,47171.0
,141881.0,46957.0
,142248.0,47667.0
,142043.0,47241.0
,142119.0,47169.0
,142562.0,47379.0
,142482.0,47771.0
,142772.0,47175.0
,142179.0,47156.0
,142310.0,47386.0
,142531.0,47591.0
,142480.0,47331.0
,142316.0,47277.0
,142297.0,47581.0
,142428.0,47525.0
,142614.0,47697.0
,142463.0,47459.0
,142535.0,47478.0
,143065.0,47613.0
,143613.0,47999.0
,143365.0,47841.0
,144337.0,47707.0
,144452.0,47670.0
,144331.0,47626.0
,144623.0,48096.0
,144841.0,47763.0
,145390.0,48006.0
,144833.0,48032.0
,145277.0,47960.0
,145209.0,48103.0
,144956.0,47742.0
,144798.0,48045.0
,145207.0,47591.0
,145142.0,48040.0
,145058.0,47885.0
,145444.0,48033.0
,145159.0,47854.0
,145140.0,47848.0
,145412.0,48363.0
,145650.0,47218.0
,146147.0,48161.0
,145927.0,48204.0
,146141.0,48144.0
,146135.0,47474.0
,146481.0,47839.0
,146325.0,48017.0
,147093.0,48402.0
,146910.0,47891.0
,147064.0,48015.0
,147249.0,48477.0
,147563.0,48358.0
,147795.0,48554.0
,148240.0,48391.0
,147808.0,48559.0
,148086.0,48873.0
,148436.0,48505.0
,148588.0,48845.0
,148580.0,48811.0
,148574.0,48419.0
,148593.0,48448.0
,148606.0,48745.0
,149471.0,49075.0
